magnorder	WD:Q6054237
subcohort	WD:Q6541077
sublegion	WD:Q6054637
superdomain	WD:Q22666877
ichnofamily	WD:Q115227428
minorder	WD:Q23759918
section	WD:Q3181348
suborder	WD:Q5867959
division	WD:Q30093070
superphylum	WD:Q2111790
Pflanzensippe	WD:Q2083941
infraclass	WD:Q2007442
lusus	WD:Q12770611
subterclass	WD:Q21061204
class	WD:Q37517
parvorder	WD:Q6311258
subdivision	WD:Q30093105
megaclass	WD:Q60922428
subfamily	WD:Q164280
realm	WD:Q62075839
subphylum	WD:Q1153785
subspecies	WD:Q68947
tribe	WD:Q227936
supergroup	WD:Q3146751
cohort	WD:Q2981883
series	WD:Q21061732
klepton	WD:Q931051
nothoform	WD:Q59779473
subkingdom	WD:Q2752679
infralegion	WD:Q6054535
subseries	WD:Q60533422
morphotype	WD:Q1948419
subrealm	WD:Q65082852
subform	WD:Q12774043
subsection	WD:Q5998839
superdivision	WD:Q23760204
genus	WD:Q34740
informal group	WD:Q48813210
artgrupp	WD:Q78295135
nothovariety	WD:Q59779184
parvkingdom	WD:Q26857882
section	WD:Q10861426
superfamily	WD:Q2136103
nothosubspecies	WD:Q59772023
group	WD:Q9281160
mirorder	WD:Q7506274
infrafamily	WD:Q5481039
superclass	WD:Q3504061
cultivar	WD:Q4886
domain	WD:Q146481
subseries	WD:Q13198444
family	WD:Q35409
subsection	WD:Q10861375
superspecies	WD:Q1783100
subtribe	WD:Q3965313
species group	WD:Q7574964
nanorder	WD:Q23759960
subvariety	WD:Q630771
series	WD:Q3025161
reeks	WD:Q1978041
supertribe	WD:Q14817220
parvclass	WD:Q26197587
supercohort	WD:Q6054425
infrakingdom	WD:Q3150876
infracohort	WD:Q4226087
hyporder	WD:Q21074316
superkingdom	WD:Q19858692
infraphylum	WD:Q2361851
infratribe	WD:Q3798630
ichnogenus	WD:Q112082101
subdivision	WD:Q3491997
подсекция	WD:Q59770063
subdomain	WD:Q3491996
kingdom	WD:Q36732
superlegion	WD:Q6054795
supergenus	WD:Q18012823
grandorder	WD:Q6462265
megacohort	WD:Q60445775
superorder	WD:Q5868144
form	WD:Q5469884
infrasection	WD:Q60453549
nothogenus	WD:Q6045742
infraorder	WD:Q2889003
subgenus	WD:Q3238261
order	WD:Q105883353
phylum	WD:Q38348
superform	WD:Q21447759
biovar	WD:Q1972080
form	WD:Q279749
nothospecies	WD:Q1306176
branch	WD:Q3418438
subclass	WD:Q5867051
epifamily	WD:Q10296147
order	WD:Q36602
pathovar	WD:Q1972414
supersection	WD:Q1993179
ichnospecies	WD:Q113015256
alliance	WD:Q25202922
division	WD:Q334460
group	WD:Q4150646
variety	WD:Q767728
species	WD:Q7432
forma specialis	WD:Q3825509
supersubtribe	WD:Q100900625
infradivision	WD:Q23759835
legion	WD:Q7504331
